表内序号,五要素,表名,中文表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
3,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,RYZT,人员状态,VARCHAR2,1,DE00052,在逃人员类型代码,ZTRYLXDM,字符型（string）,c2
5,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
6,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,BMHCH,别名或绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
7,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
8,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
9,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
10,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,HJD,户籍地,VARCHAR2,6,DE00010,出生地省市县代码,CSDSSXDM,字符型（string）,c6
12,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,JZD,居住地,VARCHAR2,6,,,,,
13,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,JZDXZ,居住地详址,VARCHAR2,200,DE00076,居住地区划内详细地址,JZDQHNXXDZ,字符型（string）,c..100
14,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,SG,身高,VARCHAR2,3,DE00012,身高,SG,数值型（numeric）,n..3
15,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,KY,口音,VARCHAR2,21,,,,,
16,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,TMTZ,体貌特征,VARCHAR2,15,,,,,
18,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,QTTZ,其他特征,VARCHAR2,500,,,,,
19,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,SFZH,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
20,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,QTZJY,其他证件一,VARCHAR2,2,,,,,
21,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,QTZJYHM,其他证件一号码,VARCHAR2,40,,,,,
22,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,QTZJE,其他证件二,VARCHAR2,2,,,,,
24,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,ZHRQ,抓获日期,DATE,,,,,,
25,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,ZP,照片,BLOB,,DE00028,相片,XP,二进制型（binary）,bn（JPEG）
26,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,AJBH,案件编号,VARCHAR2,23,DE00092,案件编号,AJBH,字符型（string）,c23
28,人要素,XZ_SQFZXYR,刑侦_涉枪犯罪嫌疑人,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
72,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_DNA,DNA的编号,VARCHAR2,300,,,,,
73,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_CSRQ,失踪人出生日期,DATE,,DE00008,失踪人出生日期,SZRCSRQ,日期型（date）,d8（YYYYMMDD）
74,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_ZJHM,失踪人身份证号,VARCHAR2,30,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
75,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_GZDW,失踪人工作单位,VARCHAR2,800,DE00021,失踪人服务处所,SZRFWCS,字符型（string）,c..100
76,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_HJDQH,失踪人户籍地区划,VARCHAR2,6,DE00070,失踪人户籍地行政区划代码,SZRHJDXZQHDM,字符型（string）,c6
77,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_HJDXZ,失踪人户籍地详细地址,VARCHAR2,800,DE00075,报告人户籍地地址名称,SZRHJDDZMC,字符型（string）,c..100
79,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_XZZQH,失踪人现住址区划,VARCHAR2,6,DE00070,失踪人现住址行政区划代码,SZRXZZXZQHDM,字符型（string）,c6
80,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_XZZXZ,失踪人现住址详细地址,VARCHAR2,800,DE00075,失踪人地址名称,SZRDZMC,字符型（string）,c..100
82,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_TX,失踪人体形,VARCHAR2,6,,,,,
83,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_LX,失踪人脸形,VARCHAR2,6,,,,,
84,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_SG,失踪人身高（单位厘米）,NUMBER,,DE00012,失踪人身高,SZRSG,数值型（numeric）,n..3
86,人员要素,XZ_QGSZRYDJXX,刑侦_全国失踪人员登记信息,SZR_ZC,失踪人足长（单位毫米）,NUMBER,,DE00033,失踪人足长,SZRZC,数值型（numeric）,n3
1,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,AJBH,案件编号,VARCHAR2,23,,,,,
3,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,LADWDM,立案单位代码,VARCHAR2,12,,,,,
4,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,LADWXC,立案单位详称,VARCHAR2,100,DE00065,立案单位名称,LADWMC,字符型（string）,c..100
5,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,AJXZ1,案件性质一,VARCHAR2,6,,,,,
6,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,LARQ,立案日期,DATE,,DE00101,立案日期,LARQ,日期型（date）,d8（YYYYMMDD）
7,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,STZLYW,视听资料有无,VARCHAR2,1,,,,,
8,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZWYW,指纹有无,VARCHAR2,1,,,,,
9,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZASJSX,作案时间初值,DATE,,DE00554,作案日期时间初值,ZARQSJCZ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
10,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZASJXX,作案时间终值,DATE,,DE00554,作案日期时间终值,ZARQSJZZ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
11,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,AQMS,案情描述,VARCHAR2,"1,000",,,,,
13,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,LXDH,联系电话,VARCHAR2,60,DE00216,联系电话,LXDH,字符型（string）,c..18
14,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,TBR,填表人,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
15,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,TBRQ,填表日期,DATE,,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
16,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZT,案件状态,NUMBER,2,,,,,
17,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,BQZDXBZ,被敲诈对象标志,VARCHAR2,1,,,,,
18,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,GRXM,被敲诈人姓名,VARCHAR2,30,DE00002,被敲诈人姓名,BQZRXM,字符型（string）,c..50
19,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,GRSF,被敲诈人身份,VARCHAR2,2,DE00018,被敲诈人个人身份代码,BQZRGRSFDM,字符型（string）,c2
20,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,DWMC,被敲诈单位名称,VARCHAR2,100,DE00065,被敲诈单位名称,BQZDWMC,字符型（string）,c..100
21,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,DWLX,被敲诈单位类型,VARCHAR2,2,,,,,
22,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,SSFS,实施方式,VARCHAR2,1,,,,,
23,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,BZWHWXWZQK,爆炸物危险物情况,VARCHAR2,1,,,,,
25,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,SPSJ,审批时间,DATE,,DE00554,审批日期时间,SPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
26,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,TJYH,提交用户,VARCHAR2,30,DE00002,提交用户姓名,TJYHXM,字符型（string）,c..50
27,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,SJSPR,省级审批人,VARCHAR2,30,DE00002,省级审批人姓名,SJSPRXM,字符型（string）,c..50
28,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZHXGRQ,最后修改日期,DATE,,DE00101,最后修改日期,ZHXGRQ,日期型（date）,d8（YYYYMMDD）
29,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,SCLRRQ,上传录入日期,DATE,,DE00101,上次录入日期,SCLRRQ,日期型（date）,d8（YYYYMMDD）
30,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZXSCRKSJ,中心上传入库时间,DATE,,DE00554,中心上传入库日期时间,ZXSCRKRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
31,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,ZXZHXGSJ,中心最后修改时间,DATE,,DE00554,中心最后修改日期时间,ZXZHXGRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
32,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
33,案（事）件要素,XZ_QZAJJBXX,刑侦_敲诈案件基本信息,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,案（事）件要素,XZ_QZCBA,刑侦_敲诈串并案,AJBH,案件编号,VARCHAR2,23,,,,,
2,案（事）件要素,XZ_QZCBA,刑侦_敲诈串并案,CBBZ,串并标志,VARCHAR2,1,,,,,
4,案（事）件要素,XZ_QZCBA,刑侦_敲诈串并案,CBYJ,串并依据,VARCHAR2,"2,000",,,,,
6,案（事）件要素,XZ_QZCBA,刑侦_敲诈串并案,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
7,案（事）件要素,XZ_QZCBA,刑侦_敲诈串并案,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,AJBH,案件编号,VARCHAR2,23,,,,,
2,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,XLH,序列号,NUMBER,8,,,,,
3,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,QZFS,敲诈方式,VARCHAR2,2,,,,,
5,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,TZXX,特征信息,VARCHAR2,100,,,,,
6,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,GSDHFCD,特征信息归属地或发出地,VARCHAR2,6,,,,,
7,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,QZXXZYNR,敲诈信息主要内容,VARCHAR2,"2,000",,,,,
8,案（事）件要素,XZ_QZFS,刑侦_ 敲诈方式,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
1,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,AJBH,案件编号,VARCHAR2,23,,,,,
2,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,RYBH,人员编号,VARCHAR2,23,,,,,
3,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,ZTRYBH,在逃人员编号,VARCHAR2,23,,,,,
4,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,RYZT,人员状态,VARCHAR2,1,,,,,
5,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
6,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,BMHCH,别名或绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c4
7,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
8,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
9,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
10,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,HJD,户籍地,VARCHAR2,6,DE00016,籍贯省市县代码,JGSSXDM,字符型（string）,c6
11,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,HJDXZ,户籍地详址,VARCHAR2,200,DE00075,户籍地地址名称,HJDDZMC,字符型（string）,c..100
12,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,JZD,居住地,VARCHAR2,6,DE00075,居住地地址名称,JZDDZMC,字符型（string）,c..100
13,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,JZDXZ,居住地详址,VARCHAR2,200,DE00076,居住地区划内详细地址,JZDQHNXXDZ,字符型（string）,c..100
14,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,SGXX,身高下限,VARCHAR2,3,DE00012,身高下限,SGXX,数值型（numeric）,n..3
15,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,KY,口音,VARCHAR2,21,,,,,
16,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,TMTZ,体貌特征,VARCHAR2,15,,,,,
17,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,TBBJ,体表标记,VARCHAR2,24,,,,,
18,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,QTTZ,其他特征,VARCHAR2,500,,,,,
19,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,SFZH,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
20,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,QTZJY,其他证件一,VARCHAR2,2,,,,,
21,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,QTZJYHM,其他证件一号码,VARCHAR2,40,,,,,
22,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,QTZJE,其他证件二,VARCHAR2,2,,,,,
23,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,QTZJEHM,其他证件二号码,VARCHAR2,40,,,,,
24,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,ZHRQ,抓获日期,DATE,,DE00101,抓获日期,ZHRQ,日期型（date）,d8（YYYYMMDD）
25,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,ZP,照片,BLOB,,DE00028,相片,XP,二进制型（binary）,bn（JPEG）
26,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,XLH,序列号,NUMBER,8,,,,,
27,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,XMPY,姓名拼音,VARCHAR2,210,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
28,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,BMHCHPY,别名或绰号拼音,VARCHAR2,210,,,,,
29,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,SGSX,身高上限，一个范围，低值和高值,VARCHAR2,3,,,,,
30,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
31,人员要素,XZ_QZFZXYR,刑侦_敲诈犯罪嫌疑人,DEP_ACTION_TIME,操作时间,DATE,,,,,,
2,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,PXABZ,破销案标志,VARCHAR2,1,,,,,
3,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,PXADWDM,破销案单位代码,VARCHAR2,12,,,,,
4,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,PXADWXC,破销案单位详称,VARCHAR2,100,,,,,
5,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,PXARQ,破销案日期,DATE,,DE00101,破销案日期,PXARQ,日期型（date）,d8（YYYYMMDD）
6,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,CXYY,撤销原因,VARCHAR2,200,,,,,
7,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,ZAZZXS,犯罪嫌疑人数量,VARCHAR2,1,,,,,
9,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,TBR,填表人,VARCHAR2,30,DE00059,填表人姓名,TBRXM,字符型（string）,c..50
10,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,TBRQ,填表日期,DATE,,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
11,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,PXADWFZR,破销案单位负责人,VARCHAR2,30,DE00059,破销案单位负责人人姓名,PXADWFZR,字符型（string）,c..50
13,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,SPYH,审批用户,VARCHAR2,30,,,,,
14,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,SPSJ,审批时间,DATE,,DE00102,审批时间,SPSJ,日期时间型（datetime）,t6（hhmmss）
15,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,TJYH,提交用户,VARCHAR2,30,,,,,
16,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,SJSPR,省级审批人,VARCHAR2,30,,,,,
17,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,ZHXGRQ,最后修改日期,DATE,,DE00102,最后修改日期,ZHXGRQ,日期时间型（datetime）,t6（hhmmss）
19,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,ZXSCRKSJ,中心上传入库时间,DATE,,,,,,
21,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
22,案（事）件要素,XZ_QZPAXX,刑侦_敲诈破案信息,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,BH,编号,VARCHAR2,23,,,,,
2,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,CMSJ,查明时间,DATE,,DE00101,查明时间,CMSJ,日期型（date）,d8（YYYYMMDD）
3,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,CMFS,查明方式,VARCHAR2,2,,,,,
5,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,IFBGM,是否被拐,VARCHAR2,2,,,,,
6,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,CMDW,查明单位,VARCHAR2,12,,,,,
7,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,CMDWMC,查明单位名称,VARCHAR2,"1,000",,,,,
8,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,YWFL,业务分类,VARCHAR2,3,,,,,
9,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,CMR,查明人,VARCHAR2,60,DE00059,查明人姓名,CMRXM,字符型（string）,c..50
10,人员要素,XZ_SJSZRYCXXX,刑侦_省级失踪人员撤消信息,CMR_DH,联系电话,VARCHAR2,300,DE00214,联系固定电话,LXGDDH,字符型（string）,c..18
48,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,SPSJ,审批时间,DATE,,DE00554,审批日期时间,SPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
49,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,TJYH,提交用户,VARCHAR2,30,DE00002,提交用户姓名,TJYHXM,字符型（string）,c..50
50,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,SJSPR,省级审批人,VARCHAR2,30,DE00002,省级审批人姓名,SJSPRXM,字符型（string）,c..50
52,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,ZHXGRQ,最后修改日期,DATE,,DE00101,最后修改日期,ZHXGRQ,日期型（date）,d8（YYYYMMDD）
53,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,ZXSCRKSJ,中心上传入库时间,DATE,,DE00554,中心上传入库日期时间,ZXSCRKRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
54,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,ZXZHXGSJ,中心最后修改时间,DATE,,DE00554,中心最后修改日期时间,ZXZHXGRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
55,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,CSBJ,超时标志0未超时，1超时,VARCHAR2,1,,,,,
57,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
58,案（事）件要素,XZ_MAJBXX,刑侦_命案基本信息,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,PXABZ,破销案标志,VARCHAR2,1,,,,,
2,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,PXADWDM,破销案单位代码,VARCHAR2,12,,,,,
3,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,PXADWXC,破销案单位详称,VARCHAR2,100,DE00065,破销案单位名称,PXADWMC,字符型（string）,c..100
5,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,CXYY,撤销原因,VARCHAR2,200,,,,,
6,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,FZXYRSL,犯罪嫌疑人数量,NUMBER,4,,,,,
7,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,ZATDMS,作案特点描述,VARCHAR2,"1,000",,,,,
8,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,ZAGC,作案过程,VARCHAR2,"1,000",,,,,
9,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
11,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,PXADWFZR,破销案单位负责人,VARCHAR2,30,DE00002,单位负责人姓名,DWFZRXM,字符型（string）,c..50
12,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,AJBH,案件编号,VARCHAR2,23,,,,,
13,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,SPYH,审批用户,VARCHAR2,30,DE00002,审批用户姓名,SPYHXM,字符型（string）,c..50
14,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,SPSJ,审批时间,DATE,,DE00554,审批日期时间,SPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
15,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,TJYH,提交用户,VARCHAR2,30,DE00002,提交用户姓名,TJYHXM,字符型（string）,c..50
16,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,SJSPR,省级审批人,VARCHAR2,30,DE00002,省级审批人姓名,SJSPRXM,字符型（string）,c..50
17,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,SCLRRQ,上传录入日期,DATE,,DE00101,上次录入日期,SCLRRQ,日期型（date）,d8（YYYYMMDD）
18,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,ZHXGRQ,最后修改日期,DATE,,DE00101,最后修改日期,ZHXGRQ,日期型（date）,d8（YYYYMMDD）
19,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,ZXSCRKSJ,中心上传入库时间,DATE,,DE00554,中心上传入库日期时间,ZXSCRKRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
21,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,CSBJ,超时标志0未超时，1超时,VARCHAR2,1,,,,,
22,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,AJXZBGBJ,案件性质变更标记,VARCHAR2,1,,,,,
24,案（事）件要素,XZ_MAPAXX,刑侦_命案破案信息,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,案（事）件要素,XZ_MARDAJ,刑侦_命案认定案件,RDAJBH,认定案件编号,VARCHAR2,23,,,,,
2,案（事）件要素,XZ_MARDAJ,刑侦_命案认定案件,AJBH,案件编号,VARCHAR2,23,,,,,
3,案（事）件要素,XZ_MARDAJ,刑侦_命案认定案件,XLH,序列号,NUMBER,8,,,,,
4,案（事）件要素,XZ_MARDAJ,刑侦_命案认定案件,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
5,案（事）件要素,XZ_MARDAJ,刑侦_命案认定案件,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,WZMSTBH,未知名尸体编号,VARCHAR2,23,,,,,
2,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
3,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
4,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,SF,身份,VARCHAR2,12,DE00018,个人身份代码,GRSFDM,字符型（string）,c2
5,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,CSRQSX,出生日期初值,DATE,,DE00008,出生日期初值,CSRQCZ,日期型（date）,d8（YYYYMMDD）
6,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,CSRQXX,出生日期终值,DATE,,DE00008,出生日期终值,CSRQZZ,日期型（date）,d8（YYYYMMDD）
7,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,SWSJSX,伤亡时间初值,DATE,,DE00554,伤亡日期时间初值,SWRQSJCZ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
8,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,SWSJXX,伤亡时间终值,DATE,,DE00554,伤亡日期时间终值,SWRQSJZZ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
9,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,ZSSYY,致死伤原因,VARCHAR2,2,,,,,
10,人员要素,XZ_MASWRY,刑侦_命案伤亡人员,ZSSGJ,致死伤工具,VARCHAR2,18,DE00040,作案工具代码,ZAGJDM,字符型（string）,c5
