表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
62,人员要素,ZZB_GARSJBXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
63,人员要素,ZZB_GARSJBXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,机构要素,ZZB_QSGAJGDM,JGDM,机构代码,VARCHAR2,50,,,,,
2,机构要素,ZZB_QSGAJGDM,JGMC,机构名称,VARCHAR2,50,DE00065,机构名称,JGMC,字符型（string）,c..100
3,机构要素,ZZB_QSGAJGDM,JGQTMC,机构其它名称,VARCHAR2,50,DE00065,机构其他名称,JGQTMC,字符型（string）,c..100
4,机构要素,ZZB_QSGAJGDM,JGJC,机构简称,VARCHAR2,50,,,,,
5,机构要素,ZZB_QSGAJGDM,SFZSJG,是否正式机构,VARCHAR2,50,,,,,
6,机构要素,ZZB_QSGAJGDM,QYRQ,启用日期,VARCHAR2,50,DE00101,启用日期,QYRQ,日期型（date）,d8（YYYYMMDD）
7,机构要素,ZZB_QSGAJGDM,TYRQ,停用日期,VARCHAR2,50,DE00101,停用日期,TYRQ,日期型（date）,d8（YYYYMMDD）
8,机构要素,ZZB_QSGAJGDM,SFTY,是否停用,VARCHAR2,50,,,,,
9,机构要素,ZZB_QSGAJGDM,YJGDM,原机构代码,VARCHAR2,50,,,,,
10,机构要素,ZZB_QSGAJGDM,YJGDMTYRQ,原机构代码停用日期,VARCHAR2,50,DE00101,日期,RQ,日期型（date）,d8（YYYYMMDD）
11,机构要素,ZZB_QSGAJGDM,DEP_ACTION_FLAG,操作标志,VARCHAR2,1,,,,,
12,机构要素,ZZB_QSGAJGDM,DEP_ACTION_TIME,操作时间,DATE,,DE00554,日期时间,RQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,JZ_JCXX_SYRKXX,XTBH,系统编号,NUMBER,,,,,,
2,人员要素,JZ_JCXX_SYRKXX,RYID,人员ID,NUMBER,,,,,,
3,人员要素,JZ_JCXX_SYRKXX,RYSX,人员属性（目前已定义90位，具体说明附后）,VARCHAR2,1000,,,,,
4,人员要素,JZ_JCXX_SYRKXX,XM,姓名,VARCHAR2,75,DE00002,姓名,XM,字符型（string）,c..50
5,人员要素,JZ_JCXX_SYRKXX,CSRQ,出生日期,DATE,,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
6,人员要素,JZ_JCXX_SYRKXX,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
7,人员要素,JZ_JCXX_SYRKXX,MZ,民族,VARCHAR2,2,DE00011,民族代码,MZDM,字符型（string）,c2
8,人员要素,JZ_JCXX_SYRKXX,JG,籍贯,VARCHAR2,6,DE00016,籍贯省市县代码,JGSSXDM,字符型（string）,c6
9,人员要素,JZ_JCXX_SYRKXX,ZJLX,证件类型,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
10,人员要素,JZ_JCXX_SYRKXX,ZJHM,证件号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
11,人员要素,JZ_JCXX_SYRKXX,BMCH,别名/绰号,VARCHAR2,50,DE00030,别名/绰号,BMCH,字符型（string）,c..50
12,人员要素,JZ_JCXX_SYRKXX,CYM,曾用名,VARCHAR2,50,DE00029,曾用名,CYM,字符型（string）,c..50
13,人员要素,JZ_JCXX_SYRKXX,YWXM,英文姓名,VARCHAR2,100,DE00006,外文姓名,WWXM,字符型（string）,c..82
14,人员要素,JZ_JCXX_SYRKXX,WHCD,文化程度,VARCHAR2,10,DE00013,学历代码,XLDM,字符型（string）,c2
15,人员要素,JZ_JCXX_SYRKXX,ZZMM,政治面貌,VARCHAR2,10,DE00036,政治面貌代码,ZZMMDM,字符型（string）,c2
16,人员要素,JZ_JCXX_SYRKXX,HYZK,婚姻状况,VARCHAR2,10,DE00014,婚姻状况代码,HYZKDM,字符型（string）,c2
17,人员要素,JZ_JCXX_SYRKXX,GZDWDM,工作单位代码（外键，单位基本信息表的SYTSEMID）,VARCHAR2,40,,,,,
18,人员要素,JZ_JCXX_SYRKXX,ZY,职业,VARCHAR2,100,DE00019,职业,ZY,字符型（string）,c..60
19,人员要素,JZ_JCXX_SYRKXX,SF,身份,VARCHAR2,100,DE00018,个人身份代码,GRSFDM,字符型（string）,c2
20,人员要素,JZ_JCXX_SYRKXX,ZJ,宗教,VARCHAR2,100,DE00025,宗教信仰代码,ZJXYDM,字符型（string）,c2
21,人员要素,JZ_JCXX_SYRKXX,ZC,专长,VARCHAR2,100,,,,,
22,人员要素,JZ_JCXX_SYRKXX,XX,血型,VARCHAR2,10,,,,,
23,人员要素,JZ_JCXX_SYRKXX,SG,身高（单位厘米）,VARCHAR2,3,DE00012,身高,SG,数值型（numeric）,n..3
24,人员要素,JZ_JCXX_SYRKXX,GJDQ,国家地区,VARCHAR2,10,DE00015,籍贯国家/地区代码,JGGJDQDM,字符型（string）,c3
25,人员要素,JZ_JCXX_SYRKXX,BYZK,兵役状况,VARCHAR2,10,DE00024,兵役状况代码,BYZKDM,字符型（string）,c1
26,人员要素,JZ_JCXX_SYRKXX,CSD,出生地,VARCHAR2,200,DE00010,出生地省市县代码,CSDSSXDM,字符型（string）,c6
27,人员要素,JZ_JCXX_SYRKXX,XZZDZBM,现住址地址编码（外键，对应标准地址库信息的SYSTEMID字段）,VARCHAR2,75,,,,,
28,人员要素,JZ_JCXX_SYRKXX,XZZDZQC,现住址地址全称,VARCHAR2,200,DE00075,现住址地址名称,XZZDZMC,字符型（string）,c..100
29,人员要素,JZ_JCXX_SYRKXX,FWBH,房屋编号,VARCHAR2,75,,,,,
30,人员要素,JZ_JCXX_SYRKXX,HJDQC,户籍地全称,VARCHAR2,200,DE00075,户籍地地址名称,HJDDZMC,字符型（string）,c..100
31,人员要素,JZ_JCXX_SYRKXX,GXPCSID,管辖派出所ID,VARCHAR2,13,,,,,
32,人员要素,JZ_JCXX_SYRKXX,GXPCSMC,管辖派出所名称,VARCHAR2,200,,,,,
33,人员要素,JZ_JCXX_SYRKXX,LXDH,联系电话,VARCHAR2,30,DE00216,联系电话,LXDH,字符型（string）,c..18
34,人员要素,JZ_JCXX_SYRKXX,CJRXM,创建人姓名,VARCHAR2,30,DE00002,创建人姓名,CJRXM,字符型（string）,c..50
35,人员要素,JZ_JCXX_SYRKXX,CJRSFZ,创建人身份证,VARCHAR2,30,DE00001,创建人公民身份号码,CJRGMSFHM,字符型（string）,c18
36,人员要素,JZ_JCXX_SYRKXX,CJBMMC,创建部门名称,VARCHAR2,120,,,,,
37,人员要素,JZ_JCXX_SYRKXX,CJBMDM,创建部门代码,VARCHAR2,12,,,,,
38,人员要素,JZ_JCXX_SYRKXX,CJSJ,创建时间（默认为sysdate）,DATE,,,,,,
39,人员要素,JZ_JCXX_SYRKXX,XGRXM,修改人姓名,VARCHAR2,30,DE00002,修改人姓名,XGRXM,字符型（string）,c..50
40,人员要素,JZ_JCXX_SYRKXX,XGRSFZ,修改人身份证,VARCHAR2,30,DE00001,修改人公民身份号码,XGRGMSFHM,字符型（string）,c18
41,人员要素,JZ_JCXX_SYRKXX,XGBMMC,修改部门名称,VARCHAR2,150,,,,,
42,人员要素,JZ_JCXX_SYRKXX,XGBMDM,修改部门代码,VARCHAR2,12,,,,,
43,人员要素,JZ_JCXX_SYRKXX,XGSJ,修改时间,DATE,,DE00102,修改时间,XGSJ,日期时间型（datetime）,t6（hhmmss）
44,人员要素,JZ_JCXX_SYRKXX,SCBZ,删除标志（默认为0）,VARCHAR2,1,,,,,
45,人员要素,JZ_JCXX_SYRKXX,DATASOURCE,数据来源,VARCHAR2,4,,,,,
46,人员要素,JZ_JCXX_SYRKXX,RKSJ,入库时间,DATE,,DE00102,入库时间,RKSJ,日期时间型（datetime）,t6（hhmmss）
47,人员要素,JZ_JCXX_SYRKXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
48,人员要素,JZ_JCXX_SYRKXX,DEP_ACTION_TIME,,DATE,,,,,,
1,人员要素,JZ_RYCLQK,WYBZ,,VARCHAR2,75,,,,,
2,人员要素,JZ_RYCLQK,LYGS,来源公司表明信息来源公司，联宏-L，华南-H,VARCHAR2,1,,,,,
3,人员要素,JZ_RYCLQK,RYBH,涉案人员编号,VARCHAR2,75,DE00038,涉案人员编号,SARYBH,字符型（string）,c23
4,人员要素,JZ_RYCLQK,AJWYID,案事件唯一ID对应此人涉案的案事件唯一编号,VARCHAR2,75,,,,,
5,人员要素,JZ_RYCLQK,CLLB,处理方式,VARCHAR2,30,,,,,
6,人员要素,JZ_RYCLQK,CLYY,处理原因,VARCHAR2,1500,,,,,
7,人员要素,JZ_RYCLQK,ZXSJ,执行时间,VARCHAR2,14,DE00101,执行日期,ZXRQ,日期型（date）,d8（YYYYMMDD）
8,人员要素,JZ_RYCLQK,JSSJ,结束时间,VARCHAR2,14,DE00101,结束日期,JSRQ,日期型（date）,d8（YYYYMMDD）
9,人员要素,JZ_RYCLQK,JBR,经办人,VARCHAR2,45,DE00002,经办人姓名,JBRXM,字符型（string）,c..50
10,人员要素,JZ_RYCLQK,CLDW,处理单位,VARCHAR2,150,DE00065,处理单位名称,CLDWMC,字符型（string）,c..100
11,人员要素,JZ_RYCLQK,ZXCS,执行场所,VARCHAR2,150,,,,,
12,人员要素,JZ_RYCLQK,RKSJ,入情报库时间,DATE,,DE00102,入情报库时间,RQBKSJ,日期时间型（datetime）,t6（hhmmss）
13,人员要素,JZ_RYCLQK,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
14,人员要素,JZ_RYCLQK,SCBZ,删除标志，0-正常，1-删除,VARCHAR2,1,,,,,
15,人员要素,JZ_RYCLQK,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
16,人员要素,JZ_RYCLQK,DEP_ACTION_TIME,操作时间,DATE,,DE00102,操作时间,CZSJ,日期时间型（datetime）,t6（hhmmss）
1,人员要素,JZ_SABAQTR,WYBZ,唯一标识,VARCHAR2,75,,,,,
2,人员要素,JZ_SABAQTR,LYGS,来源公司表明信息来源公司，联宏-L，华南-H,VARCHAR2,1,,,,,
3,人员要素,JZ_SABAQTR,RYBH,人员编号,VARCHAR2,150,DE00038,人员编号,RYBH,字符型（string）,c23
4,人员要素,JZ_SABAQTR,XM,姓名,VARCHAR2,150,DE00002,姓名,XM,字符型（string）,c..50
5,人员要素,JZ_SABAQTR,CYM,曾用名,VARCHAR2,150,DE00029,曾用名,CYM,字符型（string）,c..50
6,人员要素,JZ_SABAQTR,TSSF,特殊身份,VARCHAR2,150,DE00032,特殊身份代码,TSSFDM,字符型（string）,c2
7,人员要素,JZ_SABAQTR,MZ,民族,VARCHAR2,150,DE00011,民族代码,MZDM,字符型（string）,c2
8,人员要素,JZ_SABAQTR,CSRQ,出生日期,VARCHAR2,14,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
9,人员要素,JZ_SABAQTR,XB,性别,VARCHAR2,150,DE00007,性别代码,XBDM,字符型（string）,c1
10,人员要素,JZ_SABAQTR,GJ,国籍,VARCHAR2,150,DE00017,国籍代码,GJDM,字符型（string）,c3
11,人员要素,JZ_SABAQTR,SFZH,身份证号,VARCHAR2,250,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
12,人员要素,JZ_SABAQTR,ZJZL,证件种类,VARCHAR2,150,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
13,人员要素,JZ_SABAQTR,ZJHM,证件号码(trim),VARCHAR2,250,DE00001,证件号码（trim）,ZJHM,字符型（string）,c18
14,人员要素,JZ_SABAQTR,SWQK,伤亡情况,VARCHAR2,150,,,,,
15,人员要素,JZ_SABAQTR,SHXS,受害形式,VARCHAR2,150,DE00202,人身受害形式代码,RSSHXSDM,字符型（string）,c1
16,人员要素,JZ_SABAQTR,LXFS,联系方式,VARCHAR2,250,DE00216,联系电话,LXDH,字符型（string）,c..18
17,人员要素,JZ_SABAQTR,GZDW,工作单位,VARCHAR2,150,DE00021,服务处所,FWCS,字符型（string）,c..100
18,人员要素,JZ_SABAQTR,HJDQH,户籍地区划,VARCHAR2,150,DE00070,户籍地区划,HJDXZQHDM,字符型（string）,c6
19,人员要素,JZ_SABAQTR,HJDXZ,户籍地详址,VARCHAR2,150,DE00075,户籍地详址,HJDDZMC,字符型（string）,c..100
20,人员要素,JZ_SABAQTR,JZDQH,居住地区划,VARCHAR2,150,DE00070,行政区划代码,JZDXZQHDM,字符型（string）,c6
21,人员要素,JZ_SABAQTR,JZDXZ,居住地详址,VARCHAR2,250,DE00075,居住地详址,JZDDZMC,字符型（string）,c..100
22,人员要素,JZ_SABAQTR,BZ,备注,VARCHAR2,1024,,,,,
23,人员要素,JZ_SABAQTR,TBR,填表人,VARCHAR2,150,DE00002,姓名,XM,字符型（string）,c..50
24,人员要素,JZ_SABAQTR,TBSJ,填表时间,VARCHAR2,14,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
25,人员要素,JZ_SABAQTR,RKSJ,入情报库时间,DATE,,DE00102,入情报库时间,RQBKSJ,日期时间型（datetime）,t6（hhmmss）
26,人员要素,JZ_SABAQTR,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
27,人员要素,JZ_SABAQTR,AJBH,接处警编号、案件唯一编号，确保接处警与案事件对应,VARCHAR2,75,DE00092,案件编号,AJBH,字符型（string）,c23
28,人员要素,JZ_SABAQTR,SCBZ,删除标志，0-正常，1-删除,VARCHAR2,1,,,,,
29,人员要素,JZ_SABAQTR,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
30,人员要素,JZ_SABAQTR,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,人员要素,JZ_SARYGX,WYBZ,唯一标识,VARCHAR2,75,,,,,
2,人员要素,JZ_SARYGX,LYGS,来源公司表明信息来源公司，联宏-L，华南-H,VARCHAR2,1,,,,,
3,人员要素,JZ_SARYGX,RYBH,人员编号,VARCHAR2,75,DE00038,人员编号,RYBH,字符型（string）,c23
4,人员要素,JZ_SARYGX,AJBH,接处警编号、案件唯一编号，确保接处警与案事件对应,VARCHAR2,75,DE00092,案件编号,AJBH,字符型（string）,c23
5,人员要素,JZ_SARYGX,RYLX,人员类型，10-嫌疑人、01-受害人、02-报案人、03-受害报案人、04-证人、99-其他,VARCHAR2,3,,,,,
6,人员要素,JZ_SARYGX,RKSJ,入情报库时间,DATE,,DE00102,入情报库时间,RQBKSJ,日期时间型（datetime）,t6（hhmmss）
7,人员要素,JZ_SARYGX,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
8,人员要素,JZ_SARYGX,GLYXX,关联有效性标志，0-有效，1- 无效,VARCHAR2,75,,,,,
9,人员要素,JZ_SARYGX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
10,人员要素,JZ_SARYGX,DEP_ACTION_TIME,操作时间,DATE,,DE00102,操作时间,CZSJ,日期时间型（datetime）,t6（hhmmss）
11,人员要素,JZ_SARYGX,SRC_PK_VALUE,,VARCHAR2,75,,,,,
1,案(事)件要素,JZ_ASJ_WS,WRITID,文书编号,VARCHAR2,450,,,,,
2,案(事)件要素,JZ_ASJ_WS,AJBH,外部接口编号（案件编号、治安编号）,VARCHAR2,75,DE00092,案件编号,AJBH,字符型（string）,c23
3,案(事)件要素,JZ_ASJ_WS,AJMC,外部接口名称（案件名称，治安案件名称）,VARCHAR2,150,DE00094,案件名称,AJMC,字符型（string）,c..120
4,案(事)件要素,JZ_ASJ_WS,AJWH,案件文号,VARCHAR2,75,,,,,
5,案(事)件要素,JZ_ASJ_WS,AJLX,案件类型,VARCHAR2,75,,,,,
6,案(事)件要素,JZ_ASJ_WS,WSDX,文书对象(案件/人/单位/物品),VARCHAR2,75,,,,,
7,案(事)件要素,JZ_ASJ_WS,DXBH,对象编号,VARCHAR2,75,,,,,
8,案(事)件要素,JZ_ASJ_WS,WSBH,文书编号,VARCHAR2,75,,,,,
9,案(事)件要素,JZ_ASJ_WS,WSMC,文书名称,VARCHAR2,150,,,,,
10,案(事)件要素,JZ_ASJ_WS,WSZT,文书状态(强制措施和呈请状态),VARCHAR2,30,,,,,
11,案(事)件要素,JZ_ASJ_WS,CQSX,呈请事项,VARCHAR2,1500,,,,,
12,案(事)件要素,JZ_ASJ_WS,SSYJ,事实依据,CLOB,,,,,,
13,案(事)件要素,JZ_ASJ_WS,FLMC,法律名称,VARCHAR2,500,,,,,
14,案(事)件要素,JZ_ASJ_WS,FLTK,法律条款,VARCHAR2,750,,,,,
15,案(事)件要素,JZ_ASJ_WS,FLYJFX,法律依据分析(手工补充描述部份),VARCHAR2,4000,,,,,
16,案(事)件要素,JZ_ASJ_WS,JCYWSFHRQ,检察院文书返回日期,DATE,,,,,,
17,案(事)件要素,JZ_ASJ_WS,CQR,呈请人（办案人）,VARCHAR2,4000,DE00002,呈请人姓名,CQRXM,字符型（string）,c..50
18,案(事)件要素,JZ_ASJ_WS,BADW,办案单位(呈请单位),VARCHAR2,150,DE00065,办案单位名称,BADWMC,字符型（string）,c..100
19,案(事)件要素,JZ_ASJ_WS,BADWLXDH,办案单位联系电话,VARCHAR2,45,DE00216,办案单位联系电话,BADWLXDH,字符型（string）,c..18
20,案(事)件要素,JZ_ASJ_WS,CQSJ,呈请时间,DATE,,DE00102,呈请时间,CQSJ,日期时间型（datetime）,t6（hhmmss）
21,案(事)件要素,JZ_ASJ_WS,SFPZ,是否批准,VARCHAR2,45,,,,,
22,案(事)件要素,JZ_ASJ_WS,WSDQHJ,文书当前环节,VARCHAR2,75,,,,,
23,案(事)件要素,JZ_ASJ_WS,WSDQZT,文书当前状态,VARCHAR2,45,,,,,
24,案(事)件要素,JZ_ASJ_WS,PZR,批准人,VARCHAR2,45,DE00002,批准人姓名,PZRXM,字符型（string）,c..50
25,案(事)件要素,JZ_ASJ_WS,PZDW,批准单位,VARCHAR2,75,DE00065,批准单位名称,PZDWMC,字符型（string）,c..100
26,案(事)件要素,JZ_ASJ_WS,PZSJ,批准时间,DATE,,DE00102,批准时间,PZSJ,日期时间型（datetime）,t6（hhmmss）
27,案(事)件要素,JZ_ASJ_WS,TFSJ,填发时间,DATE,,DE00102,填发时间,TFSJ,日期时间型（datetime）,t6（hhmmss）
28,案(事)件要素,JZ_ASJ_WS,TFR,填发人,VARCHAR2,45,DE00002,填发人姓名,TFRXM,字符型（string）,c..50
29,案(事)件要素,JZ_ASJ_WS,JSDW,接收单位,VARCHAR2,150,DE00065,接收单位名称,JSDWMC,字符型（string）,c..100
30,案(事)件要素,JZ_ASJ_WS,SDR,送达人,VARCHAR2,45,DE00002,送达人姓名,SDRXM,字符型（string）,c..50
31,案(事)件要素,JZ_ASJ_WS,JSR,接收人,VARCHAR2,150,DE00002,接收人姓名,JSRXM,字符型（string）,c..50
32,案(事)件要素,JZ_ASJ_WS,JSSJ,接收日期,DATE,,DE00101,接收日期,JSRQ,日期型（date）,d8（YYYYMMDD）
33,案(事)件要素,JZ_ASJ_WS,JYLY,简要理由,VARCHAR2,4000,,,,,
34,案(事)件要素,JZ_ASJ_WS,XXYY,详细原因,VARCHAR2,4000,,,,,
35,案(事)件要素,JZ_ASJ_WS,CCMC,措施名称,VARCHAR2,75,,,,,
36,案(事)件要素,JZ_ASJ_WS,QZCSQK,强制措施情况(对应人员强制措表，多条记录),VARCHAR2,4000,,,,,
37,案(事)件要素,JZ_ASJ_WS,QZCSQX,强制措施期限,NUMBER,,,,,,
38,案(事)件要素,JZ_ASJ_WS,QBHSLX,取保候审类型,VARCHAR2,45,,,,,
39,案(事)件要素,JZ_ASJ_WS,MJ,密级,VARCHAR2,75,DE00086,秘密等级代码,MMDJDM,字符型（string）,c1
40,案(事)件要素,JZ_ASJ_WS,YSLX,移送类型,VARCHAR2,150,,,,,
41,案(事)件要素,JZ_ASJ_WS,RESERVATION08,接收单位,VARCHAR2,150,,,,,
42,案(事)件要素,JZ_ASJ_WS,FLWSDZDNRZD,法律文书大字段内容字段,CLOB,,,,,,
43,案(事)件要素,JZ_ASJ_WS,FYMC,法院名称,VARCHAR2,50,,,,,
44,案(事)件要素,JZ_ASJ_WS,WSNRDZD,文书内容大字段,CLOB,,,,,,
45,案(事)件要素,JZ_ASJ_WS,DATASOURCE,,VARCHAR2,10,,,,,
46,案(事)件要素,JZ_ASJ_WS,RKSJ,,DATE,,,,,,
47,案(事)件要素,JZ_ASJ_WS,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
48,案(事)件要素,JZ_ASJ_WS,DEP_ACTION_TIME,,DATE,,,,,,
1,人员要素,JZ_ASJ_XYRGXRXX,XTBH,系统编号,VARCHAR2,75,,,,,
2,人员要素,JZ_ASJ_XYRGXRXX,BBDRDBH,被认定人的编号（外键，对应嫌疑人信息的SYSTEMID字段）,VARCHAR2,75,,,,,
3,人员要素,JZ_ASJ_XYRGXRXX,RYGXDM,人员关系代码,VARCHAR2,75,,,,,
4,人员要素,JZ_ASJ_XYRGXRXX,RDRDBH,认定人的编号（外键，对应嫌疑人信息的SYSTEMID字段）,VARCHAR2,75,,,,,
5,人员要素,JZ_ASJ_XYRGXRXX,CJZXM,创建者姓名,VARCHAR2,75,DE00002,创建者姓名,CJZXM,字符型（string）,c..50
6,人员要素,JZ_ASJ_XYRGXRXX,CJZSFZ,创建者身份证,VARCHAR2,20,DE00001,创建者身份证,CJZGMSFHM,字符型（string）,c18
7,人员要素,JZ_ASJ_XYRGXRXX,CJBMBH,创建部门编号,VARCHAR2,75,,,,,
8,人员要素,JZ_ASJ_XYRGXRXX,CJSJ,创建时间（默认为sysdate）,DATE,,,,,,
9,人员要素,JZ_ASJ_XYRGXRXX,ZZXGRXM,最终修改人姓名,VARCHAR2,75,DE00002,最终修改人姓名,ZZXGRXM,字符型（string）,c..50
10,人员要素,JZ_ASJ_XYRGXRXX,ZZXGRSFZ,最终修改人身份证,VARCHAR2,20,DE00001,最终修改人身份证,ZZXGRGMSFHM,字符型（string）,c18
11,人员要素,JZ_ASJ_XYRGXRXX,ZHXGSJ,最后修改时间,DATE,,,,,,
12,人员要素,JZ_ASJ_XYRGXRXX,SCBZ,删除标志（默认为0）,VARCHAR2,2,,,,,
13,人员要素,JZ_ASJ_XYRGXRXX,DATASOURCE,,VARCHAR2,10,,,,,
14,人员要素,JZ_ASJ_XYRGXRXX,RKSJ,,DATE,,,,,,
15,人员要素,JZ_ASJ_XYRGXRXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
16,人员要素,JZ_ASJ_XYRGXRXX,DEP_ACTION_TIME,,DATE,,,,,,
1,人员要素,JZ_ASJ_XYRLXFSXX,XTBH,系统编号,VARCHAR2,75,,,,,
2,人员要素,JZ_ASJ_XYRLXFSXX,RYBH,人员编号(外键，对应嫌疑人信息的RYBH字段),VARCHAR2,38,DE00038,人员编号,RYBH,字符型（string）,c23
3,人员要素,JZ_ASJ_XYRLXFSXX,LXFSZL,联系方式种类,VARCHAR2,3,,,,,
4,人员要素,JZ_ASJ_XYRLXFSXX,HMHZDZ,号码或者地址,VARCHAR2,150,,,,,
5,人员要素,JZ_ASJ_XYRLXFSXX,WYBSM,唯一标识码,VARCHAR2,90,,,,,
6,人员要素,JZ_ASJ_XYRLXFSXX,BZ,备注,VARCHAR2,750,,,,,
7,人员要素,JZ_ASJ_XYRLXFSXX,CJRXM,创建人姓名,VARCHAR2,75,DE00002,创建者姓名,CJZXM,字符型（string）,c..50
8,人员要素,JZ_ASJ_XYRLXFSXX,CJRSFZ,创建人身份证,VARCHAR2,75,DE00001,创建者身份证,CJZGMSFHM,字符型（string）,c18
9,人员要素,JZ_ASJ_XYRLXFSXX,CJBMBH,创建部门编号,VARCHAR2,75,,,,,
10,人员要素,JZ_ASJ_XYRLXFSXX,CJSJ,创建时间,DATE,,DE00102,创建时间,CJSJ,日期时间型（datetime）,t6（hhmmss）
11,人员要素,JZ_ASJ_XYRLXFSXX,ZZXGR,最终修改人,VARCHAR2,75,DE00002,最终修改人姓名,ZZXGRXM,字符型（string）,c..50
12,人员要素,JZ_ASJ_XYRLXFSXX,ZZXGRSFZ,最终修改人身份证,VARCHAR2,75,DE00001,最终修改人身份证,ZZXGRGMSFHM,字符型（string）,c18
13,人员要素,JZ_ASJ_XYRLXFSXX,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
14,人员要素,JZ_ASJ_XYRLXFSXX,SCBZ,删除标志（默认为0）,VARCHAR2,2,,,,,
15,人员要素,JZ_ASJ_XYRLXFSXX,DATASOURCE,,VARCHAR2,10,,,,,
16,人员要素,JZ_ASJ_XYRLXFSXX,RKSJ,,DATE,,,,,,
17,人员要素,JZ_ASJ_XYRLXFSXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
18,人员要素,JZ_ASJ_XYRLXFSXX,DEP_ACTION_TIME,,DATE,,,,,,
1,人员要素,JZ_ASJ_XYRXX,XTBH,系统编号,VARCHAR2,75,,,,,
2,人员要素,JZ_ASJ_XYRXX,RYBH,人员编号,VARCHAR2,45,DE00038,人员编号,RYBH,字符型（string）,c23
3,人员要素,JZ_ASJ_XYRXX,SJJZDXZQH,实际居住地行政区划,VARCHAR2,9,DE00070,实际居住地行政区划,SJJZDXZQHDM,字符型（string）,c6
4,人员要素,JZ_ASJ_XYRXX,YWGXBM,业务管辖部门,VARCHAR2,30,,,,,
5,人员要素,JZ_ASJ_XYRXX,ZWBH,指纹编号,VARCHAR2,150,,,,,
6,人员要素,JZ_ASJ_XYRXX,XM,姓名,VARCHAR2,45,DE00002,姓名,XM,字符型（string）,c..50
7,人员要素,JZ_ASJ_XYRXX,BM,别名,VARCHAR2,30,DE00030,别名,BM,字符型（string）,c..50
8,人员要素,JZ_ASJ_XYRXX,CH,绰号,VARCHAR2,383,DE00030,绰号,CH,字符型（string）,c..50
9,人员要素,JZ_ASJ_XYRXX,CSRQ,出生日期,DATE,,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
10,人员要素,JZ_ASJ_XYRXX,CSRQXX,出生日期下限,DATE,,DE00008,出生日期下限,CSRQXX,日期型（date）,d8（YYYYMMDD）
11,人员要素,JZ_ASJ_XYRXX,XB,性别,VARCHAR2,8,DE00007,性别代码,XBDM,字符型（string）,c1
12,人员要素,JZ_ASJ_XYRXX,GJ,国籍（地区）,VARCHAR2,15,DE00017,国籍代码,GJDM,字符型（string）,c3
13,人员要素,JZ_ASJ_XYRXX,ZJZL,证件种类,VARCHAR2,5,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
14,人员要素,JZ_ASJ_XYRXX,ZJHM,证件号码,VARCHAR2,75,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
15,人员要素,JZ_ASJ_XYRXX,MZ,民族,VARCHAR2,3,DE00011,民族代码,MZDM,字符型（string）,c2
16,人员要素,JZ_ASJ_XYRXX,WHCD,文化程度,VARCHAR2,3,DE00013,学历代码,XLDM,字符型（string）,c2
17,人员要素,JZ_ASJ_XYRXX,HJSZDXZ,户籍所在地详址,VARCHAR2,120,DE00075,户籍地详址,HJDDZMC,字符型（string）,c..100
18,人员要素,JZ_ASJ_XYRXX,HJSZDQH,户籍所在地区划,VARCHAR2,9,DE00070,户籍地区划,HJDXZQHDM,字符型（string）,c6
19,人员要素,JZ_ASJ_XYRXX,ZHCH,专长,VARCHAR2,17,DE00039,涉案人员专长代码,SARYZCDM,字符型（string）,c2
